epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,706.066,1.48971,2.93955,1.66613,0.39207,0.52604,0.40803,0.18066,1.72325,3.01429,1.97639,0.00333308,0.00333308,0.00333308
2,1426.07,1.46641,2.16824,1.64391,0.55043,0.52871,0.52213,0.241,1.7379,2.37537,1.93533,0.00653442,0.00653442,0.00653442
3,2145.43,1.54746,2.01969,1.72203,0.40372,0.48901,0.43824,0.19332,1.94168,3.26146,2.18887,0.00960376,0.00960376,0.00960376
4,2866.31,1.5594,1.94856,1.74329,0.46517,0.51811,0.44429,0.21574,1.9039,2.32607,2.13444,0.009406,0.009406,0.009406
5,3595.32,1.50036,1.7939,1.68513,0.48038,0.56408,0.5222,0.2689,1.81937,2.1224,1.99504,0.009208,0.009208,0.009208
6,4294.95,1.46561,1.68074,1.65316,0.63714,0.49035,0.53374,0.26983,1.79418,2.10175,2.02274,0.00901,0.00901,0.00901
7,5016.71,1.41609,1.5976,1.61739,0.68366,0.52131,0.58659,0.2935,1.63093,1.72525,1.85612,0.008812,0.008812,0.008812
8,5729.21,1.39619,1.53947,1.59709,0.56442,0.57587,0.53958,0.28034,1.69078,1.86654,1.93156,0.008614,0.008614,0.008614
9,6421.41,1.36864,1.48316,1.56952,0.54726,0.58157,0.55253,0.28198,1.67921,1.81771,1.87009,0.008416,0.008416,0.008416
10,7109.36,1.33914,1.42042,1.54621,0.55664,0.62957,0.59444,0.32588,1.61535,1.68994,1.83456,0.008218,0.008218,0.008218
11,7798.85,1.32026,1.37854,1.53123,0.65064,0.62386,0.63812,0.36565,1.52652,1.57753,1.75197,0.00802,0.00802,0.00802
12,8484.67,1.30173,1.34143,1.5108,0.63776,0.63503,0.68715,0.36932,1.58938,1.65625,1.77515,0.007822,0.007822,0.007822
13,9171.27,1.27762,1.30286,1.4864,0.72566,0.58283,0.68412,0.36499,1.63849,1.55212,1.81766,0.007624,0.007624,0.007624
14,9861.25,1.27523,1.27655,1.48784,0.66722,0.70659,0.7059,0.37137,1.58201,1.43995,1.77391,0.007426,0.007426,0.007426
15,10538.2,1.25309,1.25191,1.4782,0.72767,0.65651,0.7399,0.40511,1.63201,1.4197,1.81182,0.007228,0.007228,0.007228
16,11225.1,1.24919,1.22456,1.46235,0.75161,0.63643,0.75024,0.41177,1.5337,1.26801,1.72737,0.00703,0.00703,0.00703
17,11907.9,1.2331,1.19645,1.44649,0.67996,0.69029,0.72019,0.37385,1.57584,1.39846,1.75224,0.006832,0.006832,0.006832
18,12621.5,1.22041,1.17388,1.44269,0.79478,0.68167,0.78907,0.45518,1.52021,1.25342,1.68841,0.006634,0.006634,0.006634
19,13355,1.20713,1.15663,1.4283,0.75361,0.58535,0.70721,0.39082,1.52766,1.38614,1.69318,0.006436,0.006436,0.006436
20,14092.4,1.20106,1.13654,1.42574,0.72612,0.72706,0.77392,0.42816,1.57564,1.28106,1.76526,0.006238,0.006238,0.006238
21,14832.7,1.1969,1.1229,1.42035,0.77377,0.68719,0.76039,0.42258,1.49658,1.2706,1.67964,0.00604,0.00604,0.00604
22,15568.9,1.18015,1.09636,1.40871,0.73448,0.67333,0.74708,0.42679,1.54368,1.25489,1.71687,0.005842,0.005842,0.005842
23,16320.6,1.16628,1.07134,1.39079,0.78559,0.69017,0.76483,0.45301,1.48736,1.21757,1.64925,0.005644,0.005644,0.005644
24,17058.2,1.16203,1.05596,1.39091,0.80778,0.7011,0.80522,0.46124,1.45749,1.17988,1.64386,0.005446,0.005446,0.005446
25,17795.9,1.15065,1.05042,1.38243,0.74875,0.70284,0.79889,0.45728,1.43471,1.21969,1.61819,0.005248,0.005248,0.005248
26,18543.4,1.14525,1.03861,1.37677,0.74334,0.73292,0.79397,0.44995,1.47291,1.24307,1.64916,0.00505,0.00505,0.00505
27,19279.6,1.12618,1.0181,1.35607,0.80886,0.71698,0.79383,0.45513,1.48892,1.142,1.66899,0.004852,0.004852,0.004852
28,20016.2,1.11918,0.99791,1.35641,0.78871,0.73885,0.79543,0.46156,1.43162,1.16559,1.63172,0.004654,0.004654,0.004654
29,20749.4,1.11408,0.98143,1.3518,0.8114,0.75717,0.81539,0.4886,1.42304,1.08054,1.63277,0.004456,0.004456,0.004456
30,21484,1.10851,0.97483,1.34227,0.84972,0.7364,0.82806,0.50244,1.3848,1.08562,1.58912,0.004258,0.004258,0.004258
31,22234.1,1.09154,0.9518,1.33273,0.85547,0.7117,0.81929,0.50167,1.42469,1.07918,1.61486,0.00406,0.00406,0.00406
32,22972.8,1.07929,0.9465,1.3277,0.82375,0.74258,0.82671,0.50839,1.41113,1.03933,1.61716,0.003862,0.003862,0.003862
33,23711.3,1.07675,0.93404,1.32033,0.82843,0.73228,0.82187,0.49913,1.41559,1.05396,1.62103,0.003664,0.003664,0.003664
34,24443.3,1.076,0.91874,1.31263,0.84019,0.7585,0.8322,0.49769,1.42387,1.0376,1.63274,0.003466,0.003466,0.003466
35,25190.6,1.06014,0.89171,1.31342,0.85728,0.7386,0.82773,0.50564,1.39674,1.04812,1.6144,0.003268,0.003268,0.003268
36,25930.5,1.05223,0.90053,1.30635,0.85393,0.72477,0.83512,0.51751,1.37487,0.97454,1.58138,0.00307,0.00307,0.00307
37,26672.9,1.05343,0.8695,1.30145,0.79212,0.81779,0.84634,0.51867,1.37963,0.97329,1.57768,0.002872,0.002872,0.002872
38,27419.5,1.04033,0.86101,1.29059,0.8507,0.75888,0.84025,0.50227,1.40749,1.00517,1.60645,0.002674,0.002674,0.002674
39,28163.3,1.02362,0.84906,1.28078,0.82081,0.76445,0.82759,0.509,1.38257,0.99919,1.59563,0.002476,0.002476,0.002476
40,28906.7,1.02473,0.8396,1.28146,0.87314,0.74768,0.83961,0.5256,1.37327,0.9688,1.59341,0.002278,0.002278,0.002278
41,29635,1.00035,0.62507,1.24054,0.84612,0.77961,0.8309,0.50306,1.43655,1.00196,1.64776,0.00208,0.00208,0.00208
42,30363.2,0.97294,0.58791,1.22329,0.85389,0.74144,0.81821,0.48916,1.4763,1.06455,1.68741,0.001882,0.001882,0.001882
43,31092.1,0.94431,0.57015,1.20328,0.848,0.74479,0.81466,0.48156,1.49565,1.08287,1.71905,0.001684,0.001684,0.001684
44,31818.3,0.92375,0.54997,1.18714,0.83722,0.76208,0.81022,0.47966,1.5152,1.10018,1.74331,0.001486,0.001486,0.001486
45,32552.7,0.90521,0.53266,1.17288,0.8365,0.73457,0.80866,0.47748,1.52728,1.113,1.76591,0.001288,0.001288,0.001288
46,33276,0.88774,0.51841,1.16392,0.86619,0.71644,0.80991,0.47612,1.54499,1.13562,1.78685,0.00109,0.00109,0.00109
47,34010.3,0.87041,0.50378,1.15315,0.86323,0.72269,0.81521,0.47342,1.54901,1.1316,1.79223,0.000892,0.000892,0.000892
48,34736.1,0.85658,0.49273,1.13983,0.8385,0.72544,0.81456,0.46783,1.55513,1.13986,1.79761,0.000694,0.000694,0.000694
49,35463.3,0.8448,0.47858,1.12736,0.84416,0.72762,0.81547,0.47183,1.55333,1.14951,1.79316,0.000496,0.000496,0.000496
50,36186.9,0.82932,0.47288,1.11867,0.84819,0.72136,0.8101,0.47312,1.55868,1.15516,1.80294,0.000298,0.000298,0.000298
