epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,471.871,1.31141,1.35542,1.63969,0.68752,0.70054,0.74704,0.40292,1.62009,1.14092,1.83208,0.00333134,0.00333134,0.00333134
2,927.168,1.2564,1.06738,1.56801,0.745,0.63535,0.73357,0.39922,1.5565,1.18944,1.78422,0.00659869,0.00659869,0.00659869
3,1378.9,1.34821,1.25871,1.65941,0.60541,0.49723,0.51601,0.24228,1.8655,1.73851,2.19673,0.00980004,0.00980004,0.00980004
4,1830.69,1.39362,1.38427,1.70415,0.67756,0.53835,0.64044,0.30834,1.84933,1.52039,2.10309,0.009703,0.009703,0.009703
5,2281.92,1.33792,1.26191,1.6554,0.69028,0.6786,0.73245,0.38538,1.68893,1.33177,1.93904,0.009604,0.009604,0.009604
6,2733.87,1.29387,1.16819,1.62064,0.7409,0.68233,0.76512,0.42815,1.52819,1.14106,1.75517,0.009505,0.009505,0.009505
7,3189.78,1.25634,1.08922,1.58147,0.82628,0.73764,0.8449,0.49661,1.42517,1.02845,1.69875,0.009406,0.009406,0.009406
8,3643.65,1.23281,1.02772,1.54582,0.80877,0.79153,0.85742,0.49556,1.40283,1.02887,1.68018,0.009307,0.009307,0.009307
9,4096.43,1.19498,0.98272,1.52156,0.85078,0.77469,0.84669,0.51354,1.31594,0.94906,1.59578,0.009208,0.009208,0.009208
10,4548.35,1.15744,0.92792,1.49678,0.82814,0.82436,0.87241,0.5142,1.42443,0.90143,1.6777,0.009109,0.009109,0.009109
11,5001.19,1.14408,0.9014,1.4821,0.87444,0.79824,0.87663,0.53201,1.29807,0.8728,1.58636,0.00901,0.00901,0.00901
12,5454.35,1.1339,0.86318,1.46736,0.88761,0.76568,0.85648,0.54276,1.30137,0.83766,1.60746,0.008911,0.008911,0.008911
13,5904.6,1.1195,0.84267,1.45744,0.83802,0.82422,0.89571,0.5277,1.34343,0.87021,1.60549,0.008812,0.008812,0.008812
14,6352.62,1.10991,0.82037,1.44937,0.8408,0.81815,0.85783,0.54302,1.25156,0.84821,1.54286,0.008713,0.008713,0.008713
15,6805.68,1.08555,0.80193,1.43077,0.86706,0.82995,0.89364,0.58111,1.20929,0.79647,1.52007,0.008614,0.008614,0.008614
16,7255.82,1.07346,0.77818,1.41826,0.9081,0.84172,0.91138,0.5904,1.20226,0.73686,1.51643,0.008515,0.008515,0.008515
17,7707.6,1.05896,0.75644,1.40289,0.90842,0.84222,0.90649,0.58017,1.2605,0.7469,1.51459,0.008416,0.008416,0.008416
18,8156.99,1.05176,0.74249,1.38933,0.90285,0.84629,0.92666,0.59869,1.16759,0.68234,1.45804,0.008317,0.008317,0.008317
19,8606.89,1.03142,0.71932,1.37751,0.90681,0.84373,0.92092,0.59029,1.19474,0.71292,1.51252,0.008218,0.008218,0.008218
20,9054.87,1.02334,0.70107,1.37485,0.85207,0.89071,0.90993,0.59091,1.17539,0.73513,1.4977,0.008119,0.008119,0.008119
21,9504.91,1.00952,0.69372,1.35625,0.91595,0.86779,0.90744,0.59648,1.18054,0.72833,1.49339,0.00802,0.00802,0.00802
22,9957.01,0.99823,0.67791,1.34871,0.90745,0.86362,0.90983,0.59409,1.15244,0.72278,1.45529,0.007921,0.007921,0.007921
23,10406.8,0.99041,0.66324,1.34928,0.90148,0.83755,0.89946,0.60651,1.14543,0.68991,1.45388,0.007822,0.007822,0.007822
24,10862.5,0.98113,0.65491,1.33642,0.90895,0.87821,0.9223,0.61538,1.17073,0.64744,1.46596,0.007723,0.007723,0.007723
25,11321.7,0.9752,0.64511,1.33212,0.91167,0.85093,0.90131,0.60192,1.16179,0.67706,1.47187,0.007624,0.007624,0.007624
26,11778.6,0.96049,0.63395,1.31917,0.91391,0.88789,0.93754,0.63934,1.12246,0.6412,1.44823,0.007525,0.007525,0.007525
27,12234.2,0.95283,0.62528,1.31579,0.90721,0.86036,0.91716,0.63433,1.08872,0.64653,1.41079,0.007426,0.007426,0.007426
28,12686.4,0.94421,0.61519,1.30848,0.93164,0.88128,0.93906,0.63836,1.11937,0.63416,1.436,0.007327,0.007327,0.007327
29,13137.8,0.94511,0.61108,1.30388,0.91681,0.89238,0.93761,0.63064,1.15709,0.65928,1.47187,0.007228,0.007228,0.007228
